id,journaltitle,url,added_date
2,1088 Email Press,http://1088.email/,2020-06-13 18:49:36.605833-05
3,2425 Publishers,http://2425publishers.org/,6/13/20 6:49 PM
4,The 5th Publisher,http://www.5thpublisher.com/,6/13/20 6:49 PM
5,ABC Journals,http://www.abcjournals.net/,6/13/20 6:49 PM
6,A M Publishers,http://ampublisher.com/index.html,6/13/20 6:49 PM
7,Abhinav,http://www.abhinavjournal.com/,6/13/20 6:49 PM
8,Academe Research Journals,http://www.academeresearchjournals.org/,6/13/20 6:49 PM
9,Academia Publishing,http://academiapublishing.org/index.htm,6/13/20 6:49 PM
10,Academia Research,http://academiaresearch.org/,6/13/20 6:49 PM
11,Academia Scholarly Journals (ASJ),http://www.academiascholarlyjournal.org/,6/13/20 6:49 PM
12,Academic and Business Research Institute,http://www.aabri.com/,6/13/20 6:49 PM
13,Academic and Scientific Publishing,http://acascipub.com/,6/13/20 6:49 PM
14,Academic Direct Publishing House,http://ph.academicdirect.org/,6/13/20 6:49 PM
15,Academic Journals,http://www.academicjournals.org/,6/13/20 6:49 PM
16,Academic Journals and Research ACJAR,http://www.acjar.org/index.html,6/13/20 6:49 PM
17,Academic Journals Online (AJO),http://www.academicjournalsonline.co.in/,6/13/20 6:49 PM
18,"Academic Journals, Inc.",http://www.academicjournalsinc.com/,6/13/20 6:49 PM
19,Academic Knowledge and Research Publishing,http://www.akrpub.com/,6/13/20 6:49 PM
20,Academic Organization for Advancement of Strategic and International Studies (Academic OASIS),http://www.academicoasis.org/,6/13/20 6:49 PM
21,"Academic Publications, Ltd.",http://www.acadpubl.eu/index.html,6/13/20 6:49 PM
22,"Academic Research in Science, Engineering, Art and Management (ARSEAM)",http://www.arseam.com/,6/13/20 6:49 PM
23,Academic Research Journals,http://www.academicresearchjournals.org/index.htm,6/13/20 6:49 PM
24,Academic Research Publishers (ARPUB),http://acrpub.com/index.php,6/13/20 6:49 PM
25,Academic Research Publishing Agency,http://www.arpapress.com/,6/13/20 6:49 PM
26,Academic Research Publishing Group,http://arpgweb.com/index.php,6/13/20 6:49 PM
27,Academic Research Publishing House,http://www.acadrp.org/,6/13/20 6:49 PM
28,Academic Scholars Publishing House,http://academic-publishing-house.com/,6/13/20 6:49 PM
29,Academic Sciences,http://www.ijaponline.org/,6/13/20 6:49 PM
30,Academic Star Publishing Company [also here],https://beallslist.net/,6/13/20 6:49 PM
31,Academic Web Publishers (AWP),http://academicwebpublishers.org/,6/13/20 6:49 PM
32,Academic World Education & Research Center,http://www.awer-center.org/journals.htm,6/13/20 6:49 PM
33,AcademicDirect Publishing House,http://ph.academicdirect.org/,6/13/20 6:49 PM
34,Academicians’ Research Center (ARC) (ARC Journals),http://www.arcjournals.org/index.php,6/13/20 6:49 PM
35,Academics World,http://academicsworld.org/,6/13/20 6:49 PM
36,Academy for Environment and Life Sciences,http://aelsindia.com/,6/13/20 6:49 PM
37,Academy Journals,http://www.academyjournals.net/,6/13/20 6:49 PM
38,The Academy of Business & Retail Management (ABRM),http://www.abrmr.com/,6/13/20 6:49 PM
39,Academy of Business & Scientific Research (ABSR),http://www.absronline.org/,6/13/20 6:49 PM
40,Academy of IRMBR International Research in Management and Business Realities,http://www.academyirmbr.com/,6/13/20 6:49 PM
41,Academy of Knowledge Process,http://akpinsight.webs.com/,6/13/20 6:49 PM
42,Academy of Science and Engineering (ASE),http://www.scienceengineeringacademy.org/asesite/,6/13/20 6:49 PM
43,Academy of Science and Social Science (ASSS),http://www.asss-web.com/,6/13/20 6:49 PM
44,Academy of Scientific and Applied Research (ASAAR),http://asaarjournals.com/,6/13/20 6:49 PM
45,Academy Publish,http://www.academypublish.org/,6/13/20 6:49 PM
46,Access International Journals,http://www.accessinterjournals.org/,6/13/20 6:49 PM
47,Access Journals,http://www.accessjournals.org/,6/13/20 6:49 PM
48,Access Publishers,http://www.accesspublishers.org/,6/13/20 6:49 PM
49,ACT Publishing,http://www.ghrnet.org/,6/13/20 6:49 PM
50,Acta Scientifica,http://actascientifica.com/index.php,6/13/20 6:49 PM
51,AD Publication,http://www.adpublication.org/,6/13/20 6:49 PM
52,AD Publications,http://adpublications.org/,6/13/20 6:49 PM
53,Ada Lovelace Publications,http://www.ada-lovelace.co.uk/,6/13/20 6:49 PM
54,Advance Educational Institute & Research Centre (AEIRC),http://aeirc-edu.com/,6/13/20 6:49 PM
55,Advance Journals,http://advancejournals.org/,6/13/20 6:49 PM
56,Advanced Institute of Convergence Information Technology (AICIT),http://www.aicit.org/publications.html,6/13/20 6:49 PM
57,Advanced Journals,http://advancedjournals.org/index.htm,6/13/20 6:49 PM
58,Advanced Research Journals,http://www.advancedresearchjournals.org/,6/13/20 6:49 PM
59,Advanced Research Publications,http://adrpublications.in/,6/13/20 6:49 PM
60,Advanced Scholars Journals,http://advancedscholarsjournals.org/,6/13/20 6:49 PM
61,Advanced Science and Engineering Technology Institute (ASET),http://www.asetrc.org/,6/13/20 6:49 PM
62,Advanced Science Research Journals,http://advancedscienceresearchjournals.org/,6/13/20 6:49 PM
63,Advanced Technology & Science (ATScience),http://atscience.org/,6/13/20 6:49 PM
64,Advancement and Development in Technology International (Aditi),http://aditisci.com/index.php,6/13/20 6:49 PM
65,Advancements in Science,http://www.ajournals.com/,6/13/20 6:49 PM
66,Adyan Academic Press,http://www.adyanacademicpress.com/index.php,6/13/20 6:49 PM
67,AENSI (American-Eurasian Network for Scientific Information),http://www.aensiweb.com/index.html,6/13/20 6:49 PM
68,African Research Review (AFRREV),http://afrrevjo.net/,6/13/20 6:49 PM
69,AgiAl Publishing House,http://www.agialpress.com/,6/13/20 6:49 PM
70,Agropub,http://agropub.com/index.html,6/13/20 6:49 PM
71,AINSTIN Knowledge Hub,http://ainstin.com/,6/13/20 6:49 PM
72,AIRCC Publishing Corporation,http://airccse.org/index.php,6/13/20 6:49 PM
73,Aizeon Publishers,http://www.aizeonpublishers.net/aboutus.html,6/13/20 6:49 PM
74,Akademik Plus Publication,https://beallslist.net/,6/13/20 6:49 PM
75,Albert Science International Organization,http://albertscience.com/,6/13/20 6:49 PM
76,Allied Academies,http://www.alliedacademies.org/,6/13/20 6:49 PM
77,Allied Journals,http://www.alliedjournals.com/,6/13/20 6:49 PM
78,Ambit Journals,http://ambitjournals.org/,6/13/20 6:49 PM
79,AME Publishing Company (new website here),https://beallslist.net/,6/13/20 6:49 PM
80,American Academic & Scholarly Research Center (AASRC),http://aasrc.org/,6/13/20 6:49 PM
81,American Association for Science and Technology (AASCIT),http://www.aascit.org/home/index,6/13/20 6:49 PM
82,American Journal,http://www.amjournals.org/,6/13/20 6:49 PM
83,American Research Institute for Policy Development,http://aripd.org/,6/13/20 6:49 PM
84,American Research Journals,http://www.arjonline.org/,6/13/20 6:49 PM
85,American Research Publications,http://www.arepub.com/,6/13/20 6:49 PM
86,American Scholarly Research Association,http://www.asraresearch.org/,6/13/20 6:49 PM
87,American Scientific Publishers,http://www.aspbs.com/,6/13/20 6:49 PM
88,American Scientific Research Journals,http://www.americanscientificresearchjournals.org/,6/13/20 6:49 PM
89,American Society of Registered Nurses,http://www.asrn.org/,6/13/20 6:49 PM
90,American Society of Science and Engineering,http://www.as-se.org/,6/13/20 6:49 PM
91,American V-King Scientific Publishing,http://www.vkingpub.com/,6/13/20 6:49 PM
92,"Amoghsiddhi Education Society (AES) (AES Journals in Engineering Technology, Management, and Sciences ; AES E-JOURNALS) also here",https://beallslist.net/,6/13/20 6:49 PM
93,Andrew John Publishing Inc.,http://www.andrewjohnpublishing.org/open-access-publications.php,6/13/20 6:49 PM
94,Annex Publishers,http://www.annexpublishers.com/,6/13/20 6:49 PM
95,ansinet (Asian Network for Scientific Information),http://www.ansinet.com/,6/13/20 6:49 PM
96,Antarctic Journals,http://www.domainsmoon.com/,6/13/20 6:49 PM
97,Aperito Online Publishing,http://aperito.org/index.php,6/13/20 6:49 PM
98,Apex Journal,http://apexjournal.org/,6/13/20 6:49 PM
99,"Applied Science Innovations (note: their journal ""Carbon: Science and Technology"" is indexed by DOAJ)",https://beallslist.net/,6/13/20 6:49 PM
100,APST Publication,http://www.apst.co.in/,6/13/20 6:49 PM
101,Arabian Group of Journals (AGJ),http://www.arabianjbmr.com/index.php,6/13/20 6:49 PM
102,Aradhya International Publication,http://puneresearch.com/home,6/13/20 6:49 PM
103,ARC Journals,https://www.arcjournals.org/,6/13/20 6:49 PM
104,Archers & Elevators Publishing House,http://www.aeph.in/,6/13/20 6:49 PM
105,Archyworld,http://www.archyworld.com/,6/13/20 6:49 PM
106,ARPN Journals,http://arpnjournals.com/,6/13/20 6:49 PM
107,AS Publishers,http://aspublishers.com/,6/13/20 6:49 PM
108,ASD Publisher,http://asdpub.com/,6/13/20 6:49 PM
109,Ashdin Publishing,http://www.ashdin.com/,6/13/20 6:49 PM
110,AshEse Visionary,http://www.ashese.co.uk/,6/13/20 6:49 PM
111,Asia-Pacific Association of Medical Research,http://www.apamr.org/,6/13/20 6:49 PM
112,Asia Pacific Institute of Advanced Research,http://apiar.org.au/,6/13/20 6:49 PM
113,Asian Academic Research Associates,http://www.asianacademicresearch.org/index.html,6/13/20 6:49 PM
114,Asian and American Research Publishing Group,http://www.aarpub.com/,6/13/20 6:49 PM
115,Asian Economic and Social Society (AESS),http://www.aessweb.com/index.php,6/13/20 6:49 PM
